medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	AcuteInfection
1667621000000114	50000	R060E	R060E00	[D]Mild wheeze	755581000000101	R06	1
8232711000006115	30000	^ESCTMI823271		Mild wheeze	755581000000101		1
1667631000000111	20000	R060F	R060F00	[D]Moderate wheeze	755591000000104	R06	1
8232731000006114	6000	^ESCTMO823273		Moderate wheeze	755591000000104		1
1667641000000119	3000	R060G	R060G00	[D]Severe wheeze	755601000000105	R06	1
8232751000006119	600	^ESCTSE823275		Severe wheeze	755601000000105		1
1667651000000116	200	R060H	R060H00	[D]Very severe wheeze	755611000000107	R06	1
8232771000006112	50	^ESCTVE823277		Very severe wheeze	755611000000107		1
301295019	400	H1y20	H1y2000	Pharyngeal disease unspecified	75860007	H1y	1
396101012	2000	H1y2	H1y2.00	Other pharyngeal disease NEC	75860007	H1y	1
301303015	2000	H1y2z	H1y2z00	Disorder of pharynx	75860007	H1y	1
301832013	80	Hyu29	Hyu2900	[X]Other diseases of pharynx	75860007	Hyu	1
3743821000006116	3	^ESCTNE374382		Nerve pain from shingles	76462000		1
211231000006113	1000	A5313	A531300	Post-herpetic polyneuropathy	76462000	A53	1
1222513012	8000	R060z-1	R060z11	[D]Mouth breather	77329001	R06	1
317322013	20000	R04z2	R04z200	Mouth breathing	77329001	R04	1
129311019	700	H013	H013.00	Acute sphenoidal sinusitis	77919000	H01	1
317409016	2000	R0631	R063100	Pulmonary haemorrhage	78144005	R06	1
11905681000006111	1	^ESCT1190568		Pulmonary hemorrhage	78144005		1
132959015	10000	P817	P817.00	Perforation of nasal septum	80142000	P81	1
3803571000006113	200	^ESCTNA380357		Nasal septal perforation	80142000		1
233501000006110	6000	H1y1-4	H1y1.14	Perforated nasal septum	80142000	H1y	1
8260311000006113	2000	^ESCTEP826031		Episodic dry cough	810511000000109		1
2168391000000116	6000	R0621	R062100	[D]Episodic dry cough	810511000000109	R06	1
136463019	700000	H00-1	H00..11	Common cold	82272006	H00	1
667611000006110	20000	H00-3	H00..13	Cold	82272006	H00	1
136470019	600000	H00	H00..00	Acute nasopharyngitis	82272006	H00	1
162421000006116	200000	H00-6	H00..16	Acute rhinitis	82272006	H00	1
885001000006116	50000	H00-99	H00..99	Coryza	82272006	H00	1
195731000006118	20000	H00-5	H00..15	Pyrexial cold	82272006	H00	1
3838251000006116	5	^ESCTAC383825		Acute infective rhinitis	82272006		1
598191000006116	300000	H00-2	H00..12	Acute coryza	82272006	H00	1
3838761000006113	3000	^ESCTCO383876		Congestion of nasal sinus	82297005		1
136509019	300000	H1y1z-3	H1y1z13	Sinus congestion	82297005	H1y	1
3880621000006116	2	^ESCTAB388062		Abscess of lateral pharyngeal space	84889008		1
140751018	2000	H1y22	H1y2200	Parapharyngeal abscess	84889008	H1y	1
3880611000006112	2	^ESCTAB388061		Abscess of parapharyngeal space	84889008		1
301064019	200	H040x	H040x00	Acute bacterial laryngitis	849571000000102	H04	1
141055011	500	A3401	A340100	Streptococcal laryngitis	85083002	A34	1
15053015	200	H0411	H041100	Acute tracheitis with obstruction	8519009	H04	1
506433017	1000	H1y13	H1y1300	Nasal sinus cyst	85225000	H1y	1
3885921000006118	10	^ESCTCY388592		Cyst of nasal sinus	85225000		1
3896411000006114	6	^ESCTLT389641		LTB - Laryngotracheobronchitis	85915003		1
142425010	20000	H301	H301.00	Laryngotracheobronchitis	85915003	H30	1
118208010	600000	H044	H044.00	Croup	85915003	H04	1
3902971000006115	30	^ESCTAC390297		Acute suppurative otitis media with discharge	86279000		1
460551000006111	20000	F5201	F520100	Acute suppurative otitis media - tympanic membrane ruptured	86279000	F52	1
3902951000006113	400	^ESCTAC390295		Acute suppurative otitis media with spontaneous rupture of ear drum	86279000		1
143315012	1000	H1y41	H1y4100	Polyp of larynx	86423004	H1y	1
3922471000006119	2	^ESCTZO392247		Zoster ophthalmicus	87513003		1
988701000006119	20	A5323-99	A532399	Ophthalmic herpes zoster	87513003	A53	1
145090014	30000	A5324	A532400	Herpes zoster ophthalmicus	87513003	A53	1
44081000006115	9000	A5323	A532300	Ophthalmic herpes zoster infection	87513003	A53	1
3924831000006114	40	^ESCTCH392483		Chronic tubotympanic suppurative otitis media	87665008		1
556821000006115	5000	F521	F521.00	Chronic suppurative otitis media - tubotympanic	87665008	F52	1
751581000006114	200	H1y3-1	H1y3.11	Larynx paralysis	89927005	H1y	1
405114019	5000	H1y3	H1y3.00	Paralysis of larynx	89927005	H1y	1
3965121000006114	100	^ESCTTU396512		Tussive syncope	90129003		1
317404014	10000	R0620	R062000	Cough syncope	90129003	R06	1
149482010	2000000	H03-2	H03..12	Tonsillitis	90176007	H03	1
2644931000006110	100	^ESCTPO264493		Polyp of vocal cord	9078005		1
15984016	9000	H1y40	H1y4000	Vocal fold polyp	9078005	H1y	1
150766011	50000	H140	H140.00	Chronic tonsillitis	90979004	H14	1
150861013	100000	H011	H011.00	Acute frontal sinusitis	91038008	H01	1
778711000006116	100000	H27z-2	H27z.12	Influenza-like illness	95891005	H27	1
4063891000006110	100	^ESCTFL406389		Flu-like symptoms	95891005		1
762181000006116	2000000	H27z-1	H27z.11	Flu-like illness	95891005	H27	1
2445051000000112	100	H1y5B	H1y5B00	Soft vocal nodules	959171000000101	H1y	1
2445091000000116	20	H1y5C	H1y5C00	Hard vocal nodules	959191000000102	H1y	1
