medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	SkinInfection
309374012	400	Myu7	Myu7.00	[X]Other disorders of the skin and subcutaneous tissue	80659006	Myu	1
399927014	100000	M22z	M22z.00	Disorder of skin AND/OR subcutaneous tissue	80659006	M22	1
143411000006111	2000000	M	M....00	Disorder of skin and/or subcutaneous tissue	80659006	M..	1
362601000006118	100	Myu	Myu..00	[X]Additional skin and subcutaneous tissue disease classification terms	80659006	Myu	1
309299010	10000	M2z	M2z..00	Other skin and subcutaneous tissue disease NOS	80659006	M2z	1
308905013	2000	M215	M215.00	Other abnormal granulation tissue	80659006	M21	1
409651000006117	30	Myu7D	Myu7D00	[X]Other disorders/skin+subcutaneous tissue in diseases CE	80659006	Myu	1
308835017	4000	M2	M2...00	Other skin and subcutaneous tissue disorders	80659006	M2.	1
308852018	2000	M21	M21..00	Other atrophic and hypertrophic conditions of skin	80659006	M21	1
399951016	300000	Mz	Mz...00	Skin and subcutaneous tissue disease	80659006	Mz.	1
411151000006113	50	Myu7B	Myu7B00	[X]Other infiltrative disorders/skin+subcutaneous tissue	80659006	Myu	1
309379019	1	Myu74	Myu7400	[X]Other transepidermal elimination disorders	80659006	Myu	1
308912016	200	M21y	M21y.00	Other specified atrophic and hypertrophic conditions of skin	80659006	M21	1
16221000006114	90	M21yz	M21yz00	Other spec skin atrophic and hypertrophic conditions NOS	80659006	M21	1
308948019	50	M224	M224.00	Leukokeratosis NEC	80659006	M22	1
309301015	2000	My	My...00	Other specified diseases of skin or subcutaneous tissue	80659006	My.	1
415241000006117	50	Myu7C	Myu7C00	[X]Other specified disorders/skin+subcutaneous tissue	80659006	Myu	1
16481000006112	30000	M2yz	M2yz.00	Other skin and subcutaneous tissue disease NOS	80659006	M2y	1
315265010	10	PH33z	PH33z00	Specified syndromes involving skin anomalies NEC NOS	80659006	PH3	1
3812021000006111	1	^ESCTDI381202		Disorder of skin and subcutaneous tissue	80659006		1
309381017	100	Myu76	Myu7600	[X]Other hypertrophic disorders of the skin	80659006	Myu	1
315253011	20	PH33	PH33.00	Specified syndromes NEC involving skin anomalies	80659006	PH3	1
308619010	400	M12yA	M12yA00	Contact dermatitis due to radiation	81351008	M12	1
622961000006111	100000	M12z1-1	M12z111	Discoid eczema	81418003	M12	1
135069015	6000	M1y0	M1y0.00	Nummular dermatitis	81418003	M1y	1
622951000006114	100000	M119	M119.00	Discoid eczema	81418003	M11	1
3823951000006115	2000	^ESCTNU382395		Nummular eczema	81418003		1
590931000006119	20	M1234	M123400	Contact dermatitis due to mercurial	81581001	M12	1
3832321000006116	70	^ESCTFU383232		Furuncle of upper arm	81932009		1
1234661015	900	M0132	M013200	Boil of upper arm	81932009	M01	1
137914019	400	M1232	M123200	Contact dermatitis due to iodine	83150005	M12	1
138089015	200	A741-2	A741.12	Devil's grip	83264000	A74	1
138087018	3000	A741	A741.00	Epidemic pleurodynia	83264000	A74	1
138088011	7000	A741-1	A741.11	Bornholm disease	83264000	A74	1
879251000006116	700	A741-99	A741.99	Bornholm's disease	83264000	A74	1
138226016	1000	M2444	M244400	Perifolliculitis	83341004	M24	1
138508015	80	M1246	M124600	Contact dermatitis due to nylon	83508001	M12	1
630791000006118	300	M12A0	M12A000	Phototoxic drug eruption	83627000	M12	1
140670018	4000	AB05-1	AB05.11	Herpes circinatus	84849002	AB0	1
3879951000006117	2	^ESCTHE387995		Herpes circinatus	84849002		1
140668010	200000	AB05-2	AB05.12	Tinea corporis	84849002	AB0	1
3879981000006113	500	^ESCTTI387998		Tinea circinatus	84849002		1
506552014	500	M12y6	M12y600	Contact dermatitis due to jewellery	85512009	M12	1
590701000006112	3000	M123	M123.00	Contact dermatitis due to drugs AND/OR medicine	86062001	M12	1
308526016	900	M123z	M123z00	Contact dermatitis due to medicament NOS	86062001	M12	1
309048012	500	M2423	M242300	Cicatricial trichiasis	86135006	M24	1
142881012	50	M240N	M240N00	Anagen effluvium	86160006	M24	1
142888018	3000	M240K	M240K00	Alopecia universalis	86166000	M24	1
3918821000006112	20	^ESCTFU391882		Furuncle of knee	87269006		1
1235214018	1000	M0162	M016200	Boil of knee	87269006	M01	1
309355016	10000	Myu63	Myu6300	Androgenic alopecia	87872006	Myu	1
3928091000006111	30	^ESCTPA392809		Pattern baldness	87872006		1
145676010	30000	M2402	M240200	Male pattern alopecia	87872006	M24	1
3928071000006110	20	^ESCTMA392807		Male pattern baldness	87872006		1
3928101000006117	90	^ESCTAN392810		Androgenetic alopecia	87872006		1
146107014	10	A7422	A742200	Coxsackie endocarditis	88129004	A74	1
642031000006116	4	G5111	G511100	Endocarditis - coxsackie	88129004	G51	1
309095011	600	M25y	M25y.00	Other specified sweat gland disorders	88232005	M25	1
889491000006118	100	M25-99	M25..99	Sweat gland disorders	88232005	M25	1
624671000006119	3000	M25	M25..00	Disorder of sweat gland	88232005	M25	1
309103010	10000	M25z	M25z.00	Sweat gland disorder NOS	88232005	M25	1
309102017	200	M25yz	M25yz00	Other sweat gland disorder NOS	88232005	M25	1
357330013	1000	M03zz-1	M03zz11	Acute lymphangitis	8838005	M03	1
147599017	60	M12B1	M12B100	Cutis rhomboidalis nuchae	89019003	M12	1
232011000006112	30000	M1274	M127400	Photosensitivity	90128006	M12	1
3965111000006118	4	^ESCTPH396511		Photosensitivity of skin	90128006		1
3977771000006112	200	^ESCTFU397777		Furuncle of thigh	90942002		1
1235616011	20000	M0161	M016100	Boil of thigh	90942002	M01	1
3982361000006110	40	^ESCTFU398236		Furuncle of abdominal wall	91221002		1
1235643018	4000	M0123	M012300	Boil of abdominal wall	91221002	M01	1
674911000006116	20000	M12y8-1	M12y811	Contact dermatitis due to nickel	93419003	M12	1
2405371000000114	1	M2424	M242400	Cadaverised hairs	939631000000105	M24	1
215471000000118	10000	M080-1	M080.11	Infected nail bed	95340003	M08	1
4055041000006119	4000	^ESCTNA405504		Nail bed infection	95340003		1
